"interval","float"
"0","0.0"
"1","0.06666666666666667"
"2","0.13333333333333333"
"3","0.20000000000000004"
"4","0.26666666666666666"
"5","0.3333333333333333"
"6","0.4000000000000001"
"7","0.4666666666666666"
"8","0.5333333333333333"
"9","0.6"
"10","0.6666666666666666"
"11","0.7333333333333333"
"12","0.8000000000000002"
"13","0.8666666666666667"
"14","0.9333333333333332"
"15","1.0"
"16","1.0"
"17","1.0"
"18","1.0"
"19","1.0"
"20","1.0"
"21","0.8000000000000002"
"22","0.6"
"23","0.4000000000000001"
"24","0.20000000000000004"
"25","0.0"
"26","0.0"
"27","0.0"
"28","0.0"
"29","0.0"
"30","0.0"
"31","0.06666666666666667"
"32","0.13333333333333333"
"33","0.20000000000000004"
"34","0.26666666666666666"
"35","0.3333333333333333"
"36","0.4000000000000001"
"37","0.4666666666666666"
"38","0.5333333333333333"
"39","0.6"
"40","0.6666666666666666"
"41","0.7333333333333333"
"42","0.8000000000000002"
"43","0.8666666666666667"
"44","0.9333333333333332"
"45","1.0"
"46","1.0"
"47","1.0"
"48","1.0"
"49","1.0"
"50","1.0"
"51","0.8000000000000002"
"52","0.6"
"53","0.4000000000000001"
"54","0.20000000000000004"
"55","0.0"
"56","0.0"
"57","0.0"
"58","0.0"
"59","0.0"
"60","0.0"
"61","0.06666666666666667"
"62","0.13333333333333333"
"63","0.20000000000000004"
"64","0.26666666666666666"
"65","0.3333333333333333"
"66","0.4000000000000001"
"67","0.4666666666666666"
"68","0.5333333333333333"
"69","0.6"
"70","0.6666666666666666"
"71","0.7333333333333333"
"72","0.8000000000000002"
"73","0.8666666666666667"
"74","0.9333333333333332"
"75","1.0"
"76","1.0"
"77","1.0"
"78","1.0"
"79","1.0"
"80","1.0"
"81","0.8000000000000002"
"82","0.6"
"83","0.4000000000000001"
"84","0.20000000000000004"
"85","0.0"
"86","0.0"
"87","0.0"
"88","0.0"
"89","0.0"
"90","0.0"
"91","0.06666666666666667"
"92","0.13333333333333333"
"93","0.20000000000000004"
"94","0.26666666666666666"
"95","0.3333333333333333"
"96","0.4000000000000001"
"97","0.4666666666666666"
"98","0.5333333333333333"
"99","0.6"
"100","0.6666666666666666"
"101","0.7333333333333333"
"102","0.8000000000000002"
"103","0.8666666666666667"
"104","0.9333333333333332"
"105","1.0"
"106","1.0"
"107","1.0"
"108","1.0"
"109","1.0"
"110","1.0"
"111","0.8000000000000002"
"112","0.6"
"113","0.4000000000000001"
"114","0.20000000000000004"
"115","0.0"
"116","0.0"
"117","0.0"
"118","0.0"
"119","0.0"
